               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,           0.0093163,             0.02458,           0.0039635,             0.97204,             0.95559,             0.98713,             0.97013,           0.0052343,            0.014342,            0.005237,            0.001024,            0.001024,            0.001024
                 138,           0.0090502,            0.024438,            0.003894,             0.96208,             0.96884,             0.98529,             0.96843,           0.0052061,            0.014188,           0.0053953,            0.000958,            0.000958,            0.000958
                 139,            0.009342,            0.025388,           0.0041066,             0.96753,             0.96086,             0.98249,             0.96604,           0.0052272,            0.014432,           0.0056703,            0.000892,            0.000892,            0.000892
                 140,           0.0091013,            0.024839,           0.0037967,             0.96707,             0.96306,             0.98627,             0.96962,           0.0052197,            0.014259,           0.0052134,            0.000826,            0.000826,            0.000826
                 141,           0.0089639,            0.024905,           0.0036916,             0.97395,             0.96511,             0.98736,             0.97173,           0.0051456,            0.014035,           0.0048134,             0.00076,             0.00076,             0.00076
                 142,           0.0091795,            0.024524,           0.0039451,             0.96453,             0.96125,             0.98608,             0.97024,           0.0051462,            0.014061,           0.0050969,            0.000694,            0.000694,            0.000694
                 143,           0.0087301,            0.023946,           0.0034803,              0.9719,             0.95569,             0.98681,             0.97113,           0.0051294,            0.013934,           0.0051075,            0.000628,            0.000628,            0.000628
                 144,           0.0088479,            0.024475,           0.0036706,             0.96533,             0.95695,             0.98644,              0.9726,           0.0050818,            0.014005,            0.005234,            0.000562,            0.000562,            0.000562
                 145,           0.0085277,            0.023198,           0.0033501,             0.96643,             0.95709,             0.98624,             0.97148,           0.0050815,            0.013873,           0.0052908,            0.000496,            0.000496,            0.000496
                 146,           0.0087528,            0.024324,           0.0034075,             0.97112,             0.96368,             0.98738,             0.97174,           0.0050636,             0.01397,           0.0048123,             0.00043,             0.00043,             0.00043
                 147,           0.0083185,            0.022889,           0.0033214,             0.96769,             0.95855,             0.98628,             0.97069,           0.0050486,            0.013874,           0.0051894,            0.000364,            0.000364,            0.000364
                 148,           0.0082903,            0.023039,           0.0034084,             0.97173,              0.9572,             0.98632,             0.97095,            0.005048,            0.013918,           0.0050223,            0.000298,            0.000298,            0.000298
                 149,           0.0083177,            0.023238,           0.0032965,             0.96624,             0.96551,             0.98657,               0.972,           0.0050029,            0.013774,           0.0049433,            0.000232,            0.000232,            0.000232
